"AddBootstrap5", "Add Bootstrap 5"
"AddBootstrap5_Bootstrap4DemoLinkMsg", "For Bootstrap 4.x Demo Page - Click",
"AddBootstrap5_Bootstrap5DemoLinkMsg", "For Bootstrap 5.x Demo Page - Click",
"AddBootstrap5_BootstrapOptions", "Bootstrap Options",
"AddBootstrap5_Configuration", "Add Bootstrap5",
"AddBootstrap5_Debug", "Debug",
"AddBootstrap5_Debug_Help_Message", "Enables Debug Mode - Only for Testing Purpose",
"AddBootstrap5_DemoLinks", "Demo Links",
"AddBootstrap5_Enable", "Enable Module",
"AddBootstrap5_Enable_Help_Message", "Enables Bootstrap in your Magento Frontend",
"AddBootstrap5_EnableDebugMode", "Enable Debug Mode",
"AddBootstrap5_GeneralOptions", "General Options",
"AddBootstrap5_Select_Bootstrap_Version_Help_Message", "Select Bootstrap Version",
"AddBootstrap5_SelectBootstrapVersion", "Select Bootstrap Version",
"Bootstrap4.6.2", "Bootstrap 4.6.2",
"Bootstrap5.1.3", "Bootstrap 5.1.3",
"Bootstrap5.2.3", "Bootstrap 5.2.3",
"Bootstrap5.3.0", "Bootstrap 5.3.0",
"Bootstrap5.3.3", "Bootstrap 5.3.3", 
"cdnjs_cdn", "cdnjs",
"jsdelivr_cdn", "jsDelivr",
